fullArabicName,fullEnglishName,phoneNumber,email,isEmailConfirmed,investmentfields,investmentStage,idNumber,investmentLicenseNumber,profilePhoto,role,points,organization,jobTitle,availableBudget,currency,notification,description,recommendation_id,password
فاطمة رمضان حسان,Roberto Cook,97411645107,sarahrandall@example.org,FALSE,"['التطوير العقاري السكني والتجاري', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Late Stage / IPO (ما قبل الطرح العام),H154799,INV0098364924,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,228,Ortega PLC,CEO,845814,(USD) دولار أمريكي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",55,$2a$12$a5zWUHaEDJYPKm0IfhSEruRBBg0aApg0rULv1JqBV2MtfitIIshbe
محمد جمال الفيومي,Juan Fuller,96651985637,ryanmontoya@example.com,TRUE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)']",Seed (مرحلة التأسيس والتمويل الأولي),VC380697485,INV8787480317,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,216,Hill LLC,Managing Partner,826589,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",56,$2a$12$x1dH8U7hZ7cbVSXC9HuS0.ISYb9hzuf23t1PQmA1.UuUmV8yQJN4y
خلود يحيى النجار,Anna Hebert,97477229796,brandonsims@example.org,TRUE,"['الرعاية الصحية الرقمية والتطبيب عن بُعد ', 'السياحة والسفر والفنادق']",Seed (مرحلة التأسيس والتمويل الأولي),3.14E+13,INV5394428039,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,300,"Welch, Raymond and Williams",Director,437429,(SAR) ريال سعودي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",57,$2a$12$b9bPnibu/E2s7lQfS6o7quAU2Zh2M/H2Bug49cXiKdfDBgriWvYOy
أيمن وائل السيد,Dawn Sanders,96189464913,qsilva@example.net,TRUE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Series A (التوسع الأولي),MZ120331138,INV8868241742,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,210,Roberts LLC,Director,478872,(SAR) ريال سعودي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",58,$2a$12$ub/akCr7KZm6g2kZGrbysuhYFiC3hSejxw5aQZTtxGQDuA.JeEsuO
شهد فؤاد البدري,Aaron Pierce,96225738014,lisamoses@example.net,FALSE,"['التطوير العقاري السكني والتجاري', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Late Stage / IPO (ما قبل الطرح العام),7.14E+13,INV5842422836,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,236,"Moore, Marquez and Graham",Founder,893426,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",59,$2a$12$C4nZOVZOhPx.mOSt0RxJueIfqvgE7RvvRUrjhfMDFhYuzD94UT252
سارة عبد الله النجار,James Harmon,96208342124,trobbins@example.com,FALSE,"['الرعاية الصحية الرقمية والتطبيب عن بُعد ', 'الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)']",Seed (مرحلة التأسيس والتمويل الأولي),EU68275923,INV8855857458,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,249,"Sosa, Mcdaniel and Singh",Founder,904610,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",60,$2a$12$c7FCT7w6ADUmA73yLGs5QOxeCsKr15ZUYEPG9.EPxcUyPeC6MfAXm
نورهان عبد الرحمن الديب,Joseph Taylor,96218446342,stephaniepotts@example.org,TRUE,"['الرعاية الصحية الرقمية والتطبيب عن بُعد ', 'الذكاء الاصطناعي والتعلم الآلي']",Late Stage / IPO (ما قبل الطرح العام),BW7431743,INV0309446997,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,66,Evans and Sons,Director,566837,(EGP) جنيه مصري,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",61,$2a$12$.owyzVqa5J6h3QIvu7jRFuvH5PrA5LdEGXqy1xCCHw2HoABV/gBmO
شهد رمضان حسان,Jeffrey Davila,21691440466,joshuasantiago@example.net,TRUE,"['التكنولوجيا المالية (FinTech) والمدفوعات الرقمية', 'الكفاءة الطاقية وحلول الاستدامة']",Series B (التوسع والنمو السريع),4.58E+13,INV6888200765,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,176,"Cunningham, Gonzalez and Bonilla",Managing Partner,523222,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",62,$2a$12$7vn2SQrjtgW3u55hgoYYi..xZNNX08URCDrQNAjdIomsM7xUPLa7G
ياسر توفيق المصري,Bradley Hoover,96639265337,hermanhenry@example.com,TRUE,"['تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Pre-Seed (النماذج الأولية),T854162,INV1662071834,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,268,"Contreras, Hicks and Perez",CEO,903014,(SAR) ريال سعودي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",63,$2a$12$EICnWUsA.yPibkGy.kQS9u655EEUoACtmduRWyvZhzcX23K40YVo6
بلال مروان بركات,Kyle Alvarez,96140114947,yenglish@example.org,TRUE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'الرعاية الصحية الرقمية والتطبيب عن بُعد ']",Series A (التوسع الأولي),2.19E+13,INV6292659287,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,54,"Parker, Hubbard and Garza",Director,657172,(EGP) جنيه مصري,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",64,$2a$12$DrzOBwGwv9qb6nTzfgboneBsVhaPrFHcFg92kdxvc3cNAZICt8Kvm
سامي يحيى الكومي,Maurice Townsend,21260124171,tduffy@example.net,FALSE,"['الذكاء الاصطناعي والتعلم الآلي', 'الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)']",Late Stage / IPO (ما قبل الطرح العام),IS22678202,INV7091061643,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,68,Reynolds and Sons,Managing Partner,878218,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",65,$2a$12$3jfC37oUBZd7WRXvuNyVdegjs3R4jvzaJCb/6tK4iRE8vt3TSwFUm
جميلة عبد الله الجبالي,Cody Tate,96113094307,mackenziejohnson@example.org,FALSE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'البرمجيات كخدمة (SaaS) والتطبيقات']",Series B (التوسع والنمو السريع),6.73E+13,INV9231400694,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,195,"Ho, Evans and Garcia",CEO,624691,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",66,$2a$12$.N1oSuEhJFn/W6F2eQ2ve.b59.RCn7dsax1bbMP67NUnQsLTMWf0O
أيمن سليم الشامي,Brandi Howell,96604052366,duane55@example.net,TRUE,"['الذكاء الاصطناعي والتعلم الآلي', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Series A (التوسع الأولي),4.53E+13,INV6627956841,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,127,Hudson Inc,Managing Partner,748210,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",67,$2a$12$Imn7ldKH8UfcGr8Jd4mKeuQayDwj/wRbNhQ9rYU32lNMgzKbC.w1S
أحمد نبيل الديب,Jeffery Riley,97412012708,jessica32@example.com,FALSE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)']",Seed (مرحلة التأسيس والتمويل الأولي),9.52E+13,INV6592305899,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,136,Wright and Sons,CEO,513400,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",68,$2a$12$Wu//ehqdEzDOWN1YC8XJy.pgKd2Rj.QgHOwolBhMyfnbQbk6ml80K
نورهان محمود السيد,John Sosa,97473177358,jared36@example.com,TRUE,"['التطوير العقاري السكني والتجاري', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Seed (مرحلة التأسيس والتمويل الأولي),7.02E+13,INV2431197104,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,91,"Baldwin, Ford and Williams",Managing Partner,613762,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",69,$2a$12$/DB1i30fRoc1NQfA7wxaaee4E2r9Gjyw4rirTQf5lY21tIujZ8I16
جميلة عبد الله أبو زيد,Steven Simpson,2025366917,qpatrick@example.net,TRUE,"['الزراعة الذكية والتكنولوجيا الزراعية (AgriTech)', 'الكفاءة الطاقية وحلول الاستدامة']",Series A (التوسع الأولي),2.25E+13,INV0624992165,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,293,"Vincent, Maldonado and Zavala",Founder,280151,(USD) دولار أمريكي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",70,$2a$12$PjkLe2yixGxgbGN2uxJbru.17igoyU9SFO6uk3o8SVx/wQrCWIAam
خالد يحيى منصور,Patricia Alvarez,96692139885,paul75@example.org,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'الكفاءة الطاقية وحلول الاستدامة']",Series B (التوسع والنمو السريع),9.98E+13,INV4439274872,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,173,Alvarez Ltd,Founder,747234,(EUR) يورو,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",71,$2a$12$gL2bXGADtyjDpyC3mQd.k.FrcKsLKcyYLyp5TFzN2Z0r59FPqoQve
مازن عادل منصور,Steve Vaughn,21697532846,owengregory@example.com,FALSE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'التطوير العقاري السكني والتجاري']",Late Stage / IPO (ما قبل الطرح العام),WN645776893,INV2496917088,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,276,Martinez-Fields,Founder,789601,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",72,$2a$12$88cV9uMAvp45l5hf9.Cxm.6bh13eqiBCYJtJ97k7PSmmk5BnyXQl.
فاطمة مجدي سالم,Erik Waller,97484395591,nicole99@example.org,TRUE,"['الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Pre-Seed (النماذج الأولية),3.71E+13,INV5146802193,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,228,"Lloyd, Salazar and Jordan",CEO,650993,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",73,$2a$12$5n3vxp7eCtslyHgZPxPwaupolRdY96qnGH79muIyM7sMxvZKHHj0a
رنا مجدي الديب,Chad Meadows,2089671310,uwhite@example.net,TRUE,"['البرمجيات كخدمة (SaaS) والتطبيقات', 'تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني']",Series A (التوسع الأولي),X3060891,INV6959413927,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,218,Schroeder-Taylor,Managing Partner,426739,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",74,$2a$12$PL86tZasNJ.WQDHfnNSqq.CbU5uFlkyqWYwYpvms.pP5dLajgYXIK
مازن فؤاد أبو زيد,Kathy Williams,21212379242,ashleypeterson@example.com,FALSE,"['تكنولوجيا التعليم (EdTech) والتعلم الإلكتروني', 'الطاقة المتجددة (الطاقة الشمسية، الرياح، الهيدروجين الأخضر)']",Seed (مرحلة التأسيس والتمويل الأولي),7.73E+13,INV0439983732,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,170,Zimmerman Ltd,Founder,918254,(AED) درهم إماراتي,FALSE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",75,$2a$12$TXEL.Qt3usinEvDvOlaleOl0ArsycQPkEnuc9FH0VM0kb849zLtbS
خلود محمود البدري,Nicole Silva,96195739456,webercheyenne@example.com,FALSE,"['الرعاية الصحية الرقمية والتطبيب عن بُعد ', 'التكنولوجيا المالية (FinTech) والمدفوعات الرقمية']",Seed (مرحلة التأسيس والتمويل الأولي),1.54E+13,INV8543802316,https://res.cloudinary.com/dqh3zhxhc/image/upload/v1750340742/users/fvlbikknrinpqhxhsltm.jpg,investor,266,"Lynch, Adams and Noble",Director,609662,(AED) درهم إماراتي,TRUE,"أنا مستثمر يتمتع بخبرة واسعة في تحليل الأسواق، وتقييم الفرص الاستثمارية، وبناء محافظ مالية متوازنة تحقق النمو المستدام. أؤمن بأن الاستثمار الناجح لا يعتمد فقط على الأرقام، بل على فهم عميق للسوق، والرؤية المستقبلية، والقدرة على اتخاذ قرارات استراتيجية في الوقت المناسب. خلال مسيرتي، قمت بإدارة استثمارات في قطاعات متنوعة مثل التكنولوجيا، والطاقة المتجددة، والعقارات، والأسواق الناشئة. أركز دائمًا على الابتكار، والاستثمار في الشركات التي تمتلك نماذج أعمال قوية، وفِرَق قيادية متميزة، وإمكانات نمو طويلة الأمد.",76,$2a$12$djFmLADySXJCye/u3yAs0.cnxD23JsHLiES99rMTw9oEiOSYp7P1q
